Id,Nome,Posi��o,Rating,Apari��es,Gols,Assist�ncias,G+A,Gols_Falta,Frequ�ncia_Marcando,Chutes_Totais,Chutes_no_Gols,Grandes_Chances_Perdidas,Grandes_Chances_Criadas,Passe_Certos,Passes_Chaves,Passes_Longos_Certos,Dribles_Certos,Carrinhos,Intercepta��es,Afastamentos,Posse_Perdida,Cart�es_Amarelos,Cart�es_Vermelhos,Gols_Penalti,Penaltis_Batidos,Penaltis_Sofridos,Porcentagem_Passes_Certos,Porcentagem_Dribles_Certos,Temporada,Liga
962890,Ilaix Moriba,M,6.942857143,14,1,2,3,0,538,13,3,0,1,338,7,6,17,14,5,4,57,1,0,0,0,0,91.59891599,89.47368421,20/21,La Liga
84844,Neto,G,6.942857143,7,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,6,33,0,0,0,0,0,85.78431373,0,20/21,La Liga
992587,Pedri,M,6.886486486,37,3,3,6,0,809.3333333,25,9,6,5,1484,39,61,29,44,33,4,332,2,0,0,0,1,87.65505021,70.73170732,20/21,La Liga
88625,Marc-Andr� ter Stegen,G,6.864516129,31,0,0,0,0,0,1,0,0,0,770,1,0,0,0,0,23,118,1,0,0,0,0,86.90744921,0,20/21,La Liga
580550,Cl�ment Lenglet,D,6.863636364,33,1,0,1,0,2481,11,5,3,1,2119,9,92,8,36,33,65,205,7,2,0,0,0,92.17050892,72.72727273,20/21,La Liga
96547,Samuel Umtiti,D,6.858333333,13,0,0,0,0,0,2,1,0,0,575,1,17,1,5,10,14,43,1,0,0,0,0,93.80097879,100,20/21,La Liga
914835,Junior Firpo,D,6.85,7,1,1,2,0,285,1,1,0,2,182,5,0,1,1,4,7,37,2,0,0,0,0,89.65517241,20,20/21,La Liga
27678,Miralem Pjani?,M,6.836842105,19,0,0,0,0,0,16,3,2,0,683,12,15,7,13,11,5,89,1,0,0,0,0,91.43239625,100,20/21,La Liga
901842,Riqui Puig,M,6.816666667,14,1,0,1,0,313,4,2,0,0,317,6,9,6,5,1,0,40,1,0,0,0,0,91.88405797,85.71428571,20/21,La Liga
906021,Sergi�o Dest,D,6.723333333,30,2,1,3,0,957.5,14,5,1,1,1004,23,7,29,31,10,19,249,1,0,0,0,0,90.04484305,48.33333333,20/21,La Liga
