,player,x,y,loc,interaction,Jogo,temporada
5,Gerard Piqué Bernabéu,42.55925925925926,30.32962962962963,[42.55925926 30.32962963],50,Espanyol x Barcelona,2008/2009
6,Lionel Andrés Messi Cuccittini,93.45121951219512,18.660975609756097,[93.45121951 18.66097561],93,Espanyol x Barcelona,2008/2009
7,Sergio Busquets i Burgos,63.38378378378378,33.9054054054054,[63.38378378 33.90540541],67,Espanyol x Barcelona,2008/2009
8,Thierry Henry,81.08947368421053,44.973684210526315,[81.08947368 44.97368421],58,Espanyol x Barcelona,2008/2009
9,Víctor Valdés Arribas,9.100000000000001,34.8,[ 9.1 34.8],13,Espanyol x Barcelona,2008/2009
10,Xavier Hernández Creus,73.36506024096386,27.751807228915663,[73.36506024 27.75180723],150,Espanyol x Barcelona,2008/2009
0,Carles Puyol i Saforcada,37.97222222222222,45.519444444444446,[37.97222222 45.51944444],62,Osasuna x Barcelona,2008/2009
1,Daniel Alves da Silva,68.23076923076923,5.826153846153845,[68.23076923  5.82615385],123,Osasuna x Barcelona,2008/2009
2,Eric-Sylvain Bilal Abidal,59.53898305084746,63.91016949152542,[59.53898305 63.91016949],89,Osasuna x Barcelona,2008/2009
3,Gerard Piqué Bernabéu,41.44406779661016,19.43728813559322,[41.4440678  19.43728814],111,Osasuna x Barcelona,2008/2009
4,Lionel Andrés Messi Cuccittini,84.93555555555555,25.86,[84.93555556 25.86      ],116,Osasuna x Barcelona,2008/2009
5,Samuel Eto''o Fils,76.61041666666667,31.616666666666664,[76.61041667 31.61666667],118,Osasuna x Barcelona,2008/2009
6,Sergio Busquets i Burgos,59.334848484848486,35.93636363636364,[59.33484848 35.93636364],118,Osasuna x Barcelona,2008/2009
7,Seydou Kéita,62.836000000000006,47.958,[62.836 47.958],99,Osasuna x Barcelona,2008/2009
8,Thierry Henry,89.2,50.75833333333333,[89.2        50.75833333],71,Osasuna x Barcelona,2008/2009
9,Víctor Valdés Arribas,13.570967741935483,30.774193548387096,[13.57096774 30.77419355],51,Osasuna x Barcelona,2008/2009
10,Xavier Hernández Creus,69.52674418604651,35.43372093023256,[69.52674419 35.43372093],180,Osasuna x Barcelona,2008/2009
0,Aliaksandr Hleb,80.95666666666666,20.3,[80.95666667 20.3       ],69,Barcelona x Valencia,2008/2009
1,Carles Puyol i Saforcada,42.25581395348837,46.65581395348838,[42.25581395 46.65581395],75,Barcelona x Valencia,2008/2009
2,Daniel Alves da Silva,64.15211267605635,4.835211267605632,[64.15211268  4.83521127],140,Barcelona x Valencia,2008/2009
3,Eiður Smári Guðjohnsen,74.86551724137931,43.141379310344824,[74.86551724 43.14137931],61,Barcelona x Valencia,2008/2009
4,Eric-Sylvain Bilal Abidal,56.85740740740741,64.23333333333333,[56.85740741 64.23333333],98,Barcelona x Valencia,2008/2009
5,Gnégnéri Yaya Touré,56.241176470588236,35.04705882352941,[56.24117647 35.04705882],124,Barcelona x Valencia,2008/2009
6,Lionel Andrés Messi Cuccittini,79.17142857142858,21.41142857142857,[79.17142857 21.41142857],87,Barcelona x Valencia,2008/2009
7,Rafael Márquez Álvarez,36.42,17.032727272727275,[36.42       17.03272727],100,Barcelona x Valencia,2008/2009
8,Thierry Henry,80.89166666666667,57.770833333333336,[80.89166667 57.77083333],74,Barcelona x Valencia,2008/2009
9,Víctor Valdés Arribas,10.273333333333333,34.15333333333333,[10.27333333 34.15333333],17,Barcelona x Valencia,2008/2009
10,Xavier Hernández Creus,66.34864864864865,25.385135135135137,[66.34864865 25.38513514],151,Barcelona x Valencia,2008/2009
0,Anderson Luís de Souza,58.18846153846153,44.53653846153846,[58.18846154 44.53653846],113,Levante UD x Barcelona,2007/2008
1,Andrés Iniesta Luján,64.60833333333333,34.18958333333333,[64.60833333 34.18958333],104,Levante UD x Barcelona,2007/2008
2,Eric-Sylvain Bilal Abidal,40.505,63.5875,[40.505  63.5875],69,Levante UD x Barcelona,2007/2008
3,Gabriel Alejandro Milito,32.851724137931036,46.65172413793104,[32.85172414 46.65172414],54,Levante UD x Barcelona,2007/2008
4,Gnégnéri Yaya Touré,47.343939393939394,38.14393939393939,[47.34393939 38.14393939],119,Levante UD x Barcelona,2007/2008
5,Lilian Thuram,32.45263157894737,20.084210526315786,[32.45263158 20.08421053],73,Levante UD x Barcelona,2007/2008
6,Lionel Andrés Messi Cuccittini,74.58421052631579,24.936842105263157,[74.58421053 24.93684211],50,Levante UD x Barcelona,2007/2008
7,Oleguer Presas Renom,51.96,4.944999999999999,[51.96   4.945],76,Levante UD x Barcelona,2007/2008
8,Thierry Henry,71.42083333333333,47.26666666666667,[71.42083333 47.26666667],68,Levante UD x Barcelona,2007/2008
9,Víctor Valdés Arribas,9.221052631578948,32.36842105263158,[ 9.22105263 32.36842105],27,Levante UD x Barcelona,2007/2008
10,Xavier Hernández Creus,55.34177215189873,27.200000000000003,[55.34177215 27.2       ],155,Levante UD x Barcelona,2007/2008
0,Anderson Luís de Souza,67.28961038961039,45.05194805194805,[67.28961039 45.05194805],161,Barcelona x Atlético Madrid,2007/2008
1,Andrés Iniesta Luján,52.88939393939393,32.1530303030303,[52.88939394 32.1530303 ],120,Barcelona x Atlético Madrid,2007/2008
2,Carles Puyol i Saforcada,38.059090909090905,20.224999999999998,[38.05909091 20.225     ],88,Barcelona x Atlético Madrid,2007/2008
3,Eric-Sylvain Bilal Abidal,57.241791044776114,66.18955223880597,[57.24179104 66.18955224],113,Barcelona x Atlético Madrid,2007/2008
4,Gabriel Alejandro Milito,37.62647058823529,56.133823529411764,[37.62647059 56.13382353],130,Barcelona x Atlético Madrid,2007/2008
5,Lionel Andrés Messi Cuccittini,76.08666666666667,17.553333333333335,[76.08666667 17.55333333],104,Barcelona x Atlético Madrid,2007/2008
6,Oleguer Presas Renom,57.322500000000005,0.9074999999999994,[57.3225  0.9075],71,Barcelona x Atlético Madrid,2007/2008
7,Ronaldo de Assis Moreira,77.47142857142858,46.94047619047619,[77.47142857 46.94047619],94,Barcelona x Atlético Madrid,2007/2008
8,Thierry Henry,87.11428571428571,51.18571428571429,[87.11428571 51.18571429],54,Barcelona x Atlético Madrid,2007/2008
9,Víctor Valdés Arribas,10.010000000000002,36.239999999999995,[10.01 36.24],27,Barcelona x Atlético Madrid,2007/2008
10,Xavier Hernández Creus,61.70117647058824,28.863529411764706,[61.70117647 28.86352941],174,Barcelona x Atlético Madrid,2007/2008
0,Anderson Luís de Souza,67.49189189189188,42.075675675675676,[67.49189189 42.07567568],151,Barcelona x Athletic Club,2007/2008
1,Eric-Sylvain Bilal Abidal,59.96333333333334,65.00166666666667,[59.96333333 65.00166667],107,Barcelona x Athletic Club,2007/2008
2,Gianluca Zambrotta,55.39154929577465,4.316901408450704,[55.3915493   4.31690141],131,Barcelona x Athletic Club,2007/2008
3,Gnégnéri Yaya Touré,54.87450980392157,35.794117647058826,[54.8745098  35.79411765],95,Barcelona x Athletic Club,2007/2008
4,Lionel Andrés Messi Cuccittini,78.738,16.114,[78.738 16.114],115,Barcelona x Athletic Club,2007/2008
5,Oleguer Presas Renom,35.95185185185185,50.10864197530864,[35.95185185 50.10864198],157,Barcelona x Athletic Club,2007/2008
6,Rafael Márquez Álvarez,39.27765957446808,21.59468085106383,[39.27765957 21.59468085],179,Barcelona x Athletic Club,2007/2008
7,Ronaldo de Assis Moreira,80.51388888888889,18.711111111111112,[80.51388889 18.71111111],90,Barcelona x Athletic Club,2007/2008
8,Thierry Henry,84.73529411764706,49.15882352941177,[84.73529412 49.15882353],57,Barcelona x Athletic Club,2007/2008
9,Víctor Valdés Arribas,10.842857142857142,35.27142857142857,[10.84285714 35.27142857],30,Barcelona x Athletic Club,2007/2008
10,Xavier Hernández Creus,58.06,27.736470588235292,[58.06       27.73647059],168,Barcelona x Athletic Club,2007/2008
0,Andrés Iniesta Luján,65.48072289156626,51.03493975903614,[65.48072289 51.03493976],167,Barcelona x Levante UD,2007/2008
1,Carles Puyol i Saforcada,41.0,26.13529411764706,[41.         26.13529412],130,Barcelona x Levante UD,2007/2008
2,Gabriel Alejandro Milito,43.18356164383562,51.326027397260276,[43.18356164 51.3260274 ],137,Barcelona x Levante UD,2007/2008
3,Gianluca Zambrotta,57.25535714285714,6.5625,[57.25535714  6.5625    ],110,Barcelona x Levante UD,2007/2008
4,Gnégnéri Yaya Touré,59.125,35.07105263157895,[59.125      35.07105263],142,Barcelona x Levante UD,2007/2008
5,Lionel Andrés Messi Cuccittini,79.38928571428572,17.517857142857142,[79.38928571 17.51785714],128,Barcelona x Levante UD,2007/2008
6,Ronaldo de Assis Moreira,86.13125000000001,51.20208333333333,[86.13125    51.20208333],115,Barcelona x Levante UD,2007/2008
7,Samuel Eto''o Fils,77.65454545454546,31.82045454545454,[77.65454545 31.82045455],110,Barcelona x Levante UD,2007/2008
8,Sylvio Mendes Campos Junior,65.69402985074628,67.85223880597016,[65.69402985 67.85223881],124,Barcelona x Levante UD,2007/2008
9,Víctor Valdés Arribas,13.986363636363636,35.00909090909091,[13.98636364 35.00909091],29,Barcelona x Levante UD,2007/2008
10,Xavier Hernández Creus,63.800000000000004,26.363953488372093,[63.8        26.36395349],166,Barcelona x Levante UD,2007/2008
0,Carles Puyol i Saforcada,33.611111111111114,48.36666666666667,[33.61111111 48.36666667],74,Real Murcia CF x Barcelona,2007/2008
1,Eiður Smári Guðjohnsen,56.964,46.048,[56.964 46.048],109,Real Murcia CF x Barcelona,2007/2008
2,Eric-Sylvain Bilal Abidal,57.328947368421055,64.1907894736842,[57.32894737 64.19078947],140,Real Murcia CF x Barcelona,2007/2008
3,Giovani dos Santos Ramírez,62.53,25.694000000000003,[62.53  25.694],104,Real Murcia CF x Barcelona,2007/2008
4,José Manuel Pinto Colorado,9.299999999999999,35.652631578947364,[ 9.3        35.65263158],23,Real Murcia CF x Barcelona,2007/2008
5,Lilian Thuram,32.082926829268295,19.536585365853657,[32.08292683 19.53658537],73,Real Murcia CF x Barcelona,2007/2008
6,Lionel Andrés Messi Cuccittini,73.00434782608696,33.40869565217391,[73.00434783 33.40869565],107,Real Murcia CF x Barcelona,2007/2008
7,Oleguer Presas Renom,47.8054054054054,10.45135135135135,[47.80540541 10.45135135],71,Real Murcia CF x Barcelona,2007/2008
8,Samuel Eto''o Fils,73.48947368421052,40.19736842105263,[73.48947368 40.19736842],83,Real Murcia CF x Barcelona,2007/2008
9,Thierry Henry,74.5,54.790909090909096,[74.5        54.79090909],98,Real Murcia CF x Barcelona,2007/2008
10,Xavier Hernández Creus,56.55595238095238,36.08809523809524,[56.55595238 36.08809524],160,Real Murcia CF x Barcelona,2007/2008
0,Andrés Iniesta Luján,59.320547945205476,40.509589041095886,[59.32054795 40.50958904],156,Racing Santander x Barcelona,2007/2008
1,Eric-Sylvain Bilal Abidal,58.661249999999995,63.36625,[58.66125 63.36625],145,Racing Santander x Barcelona,2007/2008
2,Gianluca Zambrotta,54.33064516129032,4.0435483870967746,[54.33064516  4.04354839],114,Racing Santander x Barcelona,2007/2008
3,Gnégnéri Yaya Touré,55.17903225806452,34.869354838709675,[55.17903226 34.86935484],116,Racing Santander x Barcelona,2007/2008
4,Lilian Thuram,35.321875,19.1375,[35.321875 19.1375  ],116,Racing Santander x Barcelona,2007/2008
5,Lionel Andrés Messi Cuccittini,80.25,23.863636363636363,[80.25       23.86363636],102,Racing Santander x Barcelona,2007/2008
6,Oleguer Presas Renom,38.7703125,42.4359375,[38.7703125 42.4359375],118,Racing Santander x Barcelona,2007/2008
7,Ronaldo de Assis Moreira,77.97758620689655,56.922413793103445,[77.97758621 56.92241379],134,Racing Santander x Barcelona,2007/2008
8,Samuel Eto''o Fils,74.95384615384614,15.971794871794872,[74.95384615 15.97179487],105,Racing Santander x Barcelona,2007/2008
9,Víctor Valdés Arribas,9.296153846153846,32.05,[ 9.29615385 32.05      ],37,Racing Santander x Barcelona,2007/2008
10,Xavier Hernández Creus,65.74952380952381,26.246666666666666,[65.74952381 26.24666667],211,Racing Santander x Barcelona,2007/2008
0,Anderson Luís de Souza,69.52028985507246,41.336231884057966,[69.52028986 41.33623188],139,Barcelona x Real Zaragoza,2007/2008
1,Andrés Iniesta Luján,67.32166666666666,55.555,[67.32166667 55.555     ],133,Barcelona x Real Zaragoza,2007/2008
2,Eric-Sylvain Bilal Abidal,55.56567164179105,65.4820895522388,[55.56567164 65.48208955],123,Barcelona x Real Zaragoza,2007/2008
3,Gabriel Alejandro Milito,39.730000000000004,51.343333333333334,[39.73       51.34333333],115,Barcelona x Real Zaragoza,2007/2008
4,Gianluca Zambrotta,47.98571428571428,10.37142857142857,[47.98571429 10.37142857],16,Barcelona x Real Zaragoza,2007/2008
5,Gnégnéri Yaya Touré,58.41578947368421,35.324561403508774,[58.41578947 35.3245614 ],108,Barcelona x Real Zaragoza,2007/2008
6,Lionel Andrés Messi Cuccittini,81.83260869565217,14.528260869565216,[81.8326087  14.52826087],102,Barcelona x Real Zaragoza,2007/2008
7,Rafael Márquez Álvarez,35.80333333333333,22.904999999999998,[35.80333333 22.905     ],102,Barcelona x Real Zaragoza,2007/2008
8,Thierry Henry,77.65294117647058,42.78823529411765,[77.65294118 42.78823529],57,Barcelona x Real Zaragoza,2007/2008
9,Víctor Valdés Arribas,10.025,36.21666666666667,[10.025      36.21666667],19,Barcelona x Real Zaragoza,2007/2008
10,Xavier Hernández Creus,60.800000000000004,25.648684210526316,[60.8        25.64868421],148,Barcelona x Real Zaragoza,2007/2008
0,Anderson Luís de Souza,64.99375,40.56875,[64.99375 40.56875],123,Athletic Club x Barcelona,2007/2008
1,Andrés Iniesta Luján,56.20410958904109,29.675342465753427,[56.20410959 29.67534247],139,Athletic Club x Barcelona,2007/2008
2,Bojan Krkíc Pérez,72.13684210526316,29.2,[72.13684211 29.2       ],55,Athletic Club x Barcelona,2007/2008
3,Carles Puyol i Saforcada,39.052,50.42,[39.052 50.42 ],96,Athletic Club x Barcelona,2007/2008
4,Gianluca Zambrotta,60.498039215686276,3.8176470588235296,[60.49803922  3.81764706],85,Athletic Club x Barcelona,2007/2008
5,Lilian Thuram,37.32280701754386,15.419298245614037,[37.32280702 15.41929825],102,Athletic Club x Barcelona,2007/2008
6,Lionel Andrés Messi Cuccittini,80.46774193548387,19.9741935483871,[80.46774194 19.97419355],94,Athletic Club x Barcelona,2007/2008
7,Sylvio Mendes Campos Junior,53.88461538461539,65.00384615384615,[53.88461538 65.00384615],86,Athletic Club x Barcelona,2007/2008
8,Thierry Henry,65.95454545454545,60.04545454545455,[65.95454545 60.04545455],64,Athletic Club x Barcelona,2007/2008
9,Víctor Valdés Arribas,9.552380952380952,31.666666666666668,[ 9.55238095 31.66666667],37,Athletic Club x Barcelona,2007/2008
10,Xavier Hernández Creus,58.16896551724138,30.717241379310344,[58.16896552 30.71724138],115,Athletic Club x Barcelona,2007/2008
0,Andrés Iniesta Luján,62.954651162790704,42.86162790697674,[62.95465116 42.86162791],173,Atlético Madrid x Barcelona,2007/2008
1,Carles Puyol i Saforcada,35.90344827586207,18.679310344827588,[35.90344828 18.67931034],48,Atlético Madrid x Barcelona,2007/2008
2,Eric-Sylvain Bilal Abidal,64.40833333333333,65.5,[64.40833333 65.5       ],107,Atlético Madrid x Barcelona,2007/2008
3,Gabriel Alejandro Milito,40.724000000000004,45.676,[40.724 45.676],95,Atlético Madrid x Barcelona,2007/2008
4,Gianluca Zambrotta,58.074999999999996,2.316666666666667,[58.075       2.31666667],79,Atlético Madrid x Barcelona,2007/2008
5,José Edmílson Gomes de Moraes,56.08545454545454,32.267272727272726,[56.08545455 32.26727273],98,Atlético Madrid x Barcelona,2007/2008
6,Ronaldo de Assis Moreira,77.0813953488372,34.45116279069768,[77.08139535 34.45116279],109,Atlético Madrid x Barcelona,2007/2008
7,Samuel Eto''o Fils,73.21290322580644,21.43548387096774,[73.21290323 21.43548387],82,Atlético Madrid x Barcelona,2007/2008
8,Thierry Henry,78.9,54.650000000000006,[78.9  54.65],52,Atlético Madrid x Barcelona,2007/2008
9,Víctor Valdés Arribas,8.966666666666667,34.85333333333333,[ 8.96666667 34.85333333],21,Atlético Madrid x Barcelona,2007/2008
10,Xavier Hernández Creus,66.58292682926829,32.14756097560976,[66.58292683 32.14756098],170,Atlético Madrid x Barcelona,2007/2008
0,Andrés Iniesta Luján,59.177499999999995,41.915,[59.1775 41.915 ],88,Getafe x Barcelona,2007/2008
1,Carles Puyol i Saforcada,50.53,9.168333333333333,[50.53        9.16833333],103,Getafe x Barcelona,2007/2008
2,Eric-Sylvain Bilal Abidal,56.194117647058825,63.20980392156862,[56.19411765 63.20980392],100,Getafe x Barcelona,2007/2008
3,Gabriel Alejandro Milito,36.76774193548387,46.059677419354834,[36.76774194 46.05967742],120,Getafe x Barcelona,2007/2008
4,Gnégnéri Yaya Touré,50.02758620689655,33.15,[50.02758621 33.15      ],105,Getafe x Barcelona,2007/2008
5,Lilian Thuram,32.135999999999996,15.86,[32.136 15.86 ],49,Getafe x Barcelona,2007/2008
6,Lionel Andrés Messi Cuccittini,78.625,15.179166666666667,[78.625      15.17916667],65,Getafe x Barcelona,2007/2008
7,Ronaldo de Assis Moreira,77.37894736842105,34.10526315789474,[77.37894737 34.10526316],46,Getafe x Barcelona,2007/2008
8,Thierry Henry,83.31176470588235,51.14705882352941,[83.31176471 51.14705882],54,Getafe x Barcelona,2007/2008
9,Víctor Valdés Arribas,9.3125,35.67916666666667,[ 9.3125     35.67916667],33,Getafe x Barcelona,2007/2008
10,Xavier Hernández Creus,64.17636363636363,25.323636363636364,[64.17636364 25.32363636],107,Getafe x Barcelona,2007/2008
0,Anderson Luís de Souza,68.55535714285715,41.875,[68.55535714 41.875     ],105,Villarreal x Barcelona,2007/2008
1,Andrés Iniesta Luján,61.99454545454545,33.64727272727273,[61.99454545 33.64727273],102,Villarreal x Barcelona,2007/2008
2,Bojan Krkíc Pérez,78.53076923076922,40.36923076923077,[78.53076923 40.36923077],44,Villarreal x Barcelona,2007/2008
3,Carles Puyol i Saforcada,46.214,17.574,[46.214 17.574],87,Villarreal x Barcelona,2007/2008
4,Eric-Sylvain Bilal Abidal,55.932203389830505,62.35762711864407,[55.93220339 62.35762712],105,Villarreal x Barcelona,2007/2008
5,Gabriel Alejandro Milito,41.86607142857143,48.68928571428571,[41.86607143 48.68928571],104,Villarreal x Barcelona,2007/2008
6,Lionel Andrés Messi Cuccittini,79.48235294117647,22.958823529411767,[79.48235294 22.95882353],90,Villarreal x Barcelona,2007/2008
7,Oleguer Presas Renom,61.46296296296296,1.729629629629631,[61.46296296  1.72962963],51,Villarreal x Barcelona,2007/2008
8,Thierry Henry,78.57857142857142,47.09285714285714,[78.57857143 47.09285714],48,Villarreal x Barcelona,2007/2008
9,Víctor Valdés Arribas,12.86923076923077,35.45384615384615,[12.86923077 35.45384615],17,Villarreal x Barcelona,2007/2008
10,Xavier Hernández Creus,65.21857142857144,30.627142857142857,[65.21857143 30.62714286],141,Villarreal x Barcelona,2007/2008
0,Andrés Iniesta Luján,60.652631578947364,36.0719298245614,[60.65263158 36.07192982],120,Barcelona x RC Deportivo La Coruña,2007/2008
1,Carles Puyol i Saforcada,51.378787878787875,16.965151515151515,[51.37878788 16.96515152],123,Barcelona x RC Deportivo La Coruña,2007/2008
2,Gabriel Alejandro Milito,42.155102040816324,51.53877551020408,[42.15510204 51.53877551],90,Barcelona x RC Deportivo La Coruña,2007/2008
3,Gianluca Zambrotta,56.610638297872335,2.580851063829788,[56.6106383   2.58085106],83,Barcelona x RC Deportivo La Coruña,2007/2008
4,Lionel Andrés Messi Cuccittini,77.47555555555556,11.935555555555556,[77.47555556 11.93555556],120,Barcelona x RC Deportivo La Coruña,2007/2008
5,Rafael Márquez Álvarez,52.94861111111111,26.65277777777778,[52.94861111 26.65277778],129,Barcelona x RC Deportivo La Coruña,2007/2008
6,Ronaldo de Assis Moreira,75.3925,59.69500000000001,[75.3925 59.695 ],100,Barcelona x RC Deportivo La Coruña,2007/2008
7,Samuel Eto''o Fils,77.71666666666667,41.94444444444444,[77.71666667 41.94444444],55,Barcelona x RC Deportivo La Coruña,2007/2008
8,Sylvio Mendes Campos Junior,60.92769230769231,64.87384615384616,[60.92769231 64.87384615],120,Barcelona x RC Deportivo La Coruña,2007/2008
9,Víctor Valdés Arribas,11.368181818181817,33.418181818181814,[11.36818182 33.41818182],29,Barcelona x RC Deportivo La Coruña,2007/2008
10,Xavier Hernández Creus,65.60851063829787,21.182978723404254,[65.60851064 21.18297872],181,Barcelona x RC Deportivo La Coruña,2007/2008
0,Bojan Krkíc Pérez,77.63793103448276,47.54827586206896,[77.63793103 47.54827586],79,Barcelona x Espanyol,2007/2008
1,Carles Puyol i Saforcada,33.12777777777777,25.344444444444445,[33.12777778 25.34444444],67,Barcelona x Espanyol,2007/2008
2,Eiður Smári Guðjohnsen,66.1,46.27333333333333,[66.1        46.27333333],60,Barcelona x Espanyol,2007/2008
3,Gabriel Alejandro Milito,47.88194444444444,53.21527777777778,[47.88194444 53.21527778],133,Barcelona x Espanyol,2007/2008
4,Gianluca Zambrotta,57.23,5.726,[57.23   5.726],86,Barcelona x Espanyol,2007/2008
5,Giovani dos Santos Ramírez,72.08461538461539,32.97692307692308,[72.08461538 32.97692308],41,Barcelona x Espanyol,2007/2008
6,Gnégnéri Yaya Touré,56.325,36.1515625,[56.325     36.1515625],112,Barcelona x Espanyol,2007/2008
7,Samuel Eto''o Fils,84.08947368421053,42.44210526315789,[84.08947368 42.44210526],53,Barcelona x Espanyol,2007/2008
8,Sylvio Mendes Campos Junior,60.63389830508475,64.3864406779661,[60.63389831 64.38644068],115,Barcelona x Espanyol,2007/2008
9,Víctor Valdés Arribas,10.91875,35.44375,[10.91875 35.44375],18,Barcelona x Espanyol,2007/2008
10,Xavier Hernández Creus,60.88620689655173,25.217241379310344,[60.8862069  25.21724138],128,Barcelona x Espanyol,2007/2008
0,Andrés Iniesta Luján,63.575,53.08181818181818,[63.575      53.08181818],102,Espanyol x Barcelona,2007/2008
1,Bojan Krkíc Pérez,79.55000000000001,37.611111111111114,[79.55       37.61111111],54,Espanyol x Barcelona,2007/2008
2,Carles Puyol i Saforcada,54.565,5.164999999999999,[54.565  5.165],63,Espanyol x Barcelona,2007/2008
3,Eiður Smári Guðjohnsen,65.07857142857144,41.746428571428574,[65.07857143 41.74642857],72,Espanyol x Barcelona,2007/2008
4,Eric-Sylvain Bilal Abidal,51.78297872340426,62.94893617021276,[51.78297872 62.94893617],80,Espanyol x Barcelona,2007/2008
5,Gabriel Alejandro Milito,36.402325581395345,47.19767441860465,[36.40232558 47.19767442],72,Espanyol x Barcelona,2007/2008
6,Gnégnéri Yaya Touré,54.20227272727273,35.25454545454546,[54.20227273 35.25454545],80,Espanyol x Barcelona,2007/2008
7,Lionel Andrés Messi Cuccittini,81.756,14.78,[81.756 14.78 ],81,Espanyol x Barcelona,2007/2008
8,Rafael Márquez Álvarez,39.02051282051282,17.925641025641024,[39.02051282 17.92564103],73,Espanyol x Barcelona,2007/2008
9,Víctor Valdés Arribas,9.664,35.288000000000004,[ 9.664 35.288],31,Espanyol x Barcelona,2007/2008
10,Xavier Hernández Creus,68.88958333333333,27.735416666666666,[68.88958333 27.73541667],94,Espanyol x Barcelona,2007/2008
0,Andrés Iniesta Luján,63.40851063829787,40.40212765957447,[63.40851064 40.40212766],99,Barcelona x Almería,2007/2008
1,Carles Puyol i Saforcada,38.82857142857143,25.42142857142857,[38.82857143 25.42142857],53,Barcelona x Almería,2007/2008
2,Eric-Sylvain Bilal Abidal,55.3327868852459,65.21311475409836,[55.33278689 65.21311475],110,Barcelona x Almería,2007/2008
3,Gabriel Alejandro Milito,41.71076923076923,53.79076923076923,[41.71076923 53.79076923],124,Barcelona x Almería,2007/2008
4,Gianluca Zambrotta,54.358823529411765,4.644117647058823,[54.35882353  4.64411765],63,Barcelona x Almería,2007/2008
5,Giovani dos Santos Ramírez,70.11666666666666,24.883333333333336,[70.11666667 24.88333333],52,Barcelona x Almería,2007/2008
6,Gnégnéri Yaya Touré,61.334090909090904,38.30681818181818,[61.33409091 38.30681818],81,Barcelona x Almería,2007/2008
7,Ronaldo de Assis Moreira,77.23478260869565,51.5,[77.23478261 51.5       ],58,Barcelona x Almería,2007/2008
8,Thierry Henry,82.17333333333335,40.666666666666664,[82.17333333 40.66666667],54,Barcelona x Almería,2007/2008
9,Víctor Valdés Arribas,10.057142857142859,34.44285714285714,[10.05714286 34.44285714],27,Barcelona x Almería,2007/2008
10,Xavier Hernández Creus,60.62073170731707,35.207317073170735,[60.62073171 35.20731707],155,Barcelona x Almería,2007/2008
0,Anderson Luís de Souza,74.06119402985075,47.12835820895522,[74.06119403 47.12835821],136,Barcelona x Osasuna,2007/2008
1,Andrés Iniesta Luján,65.10666666666667,35.16,[65.10666667 35.16      ],125,Barcelona x Osasuna,2007/2008
2,Bojan Krkíc Pérez,79.92083333333333,22.429166666666664,[79.92083333 22.42916667],65,Barcelona x Osasuna,2007/2008
3,Eric-Sylvain Bilal Abidal,59.233333333333334,65.21527777777777,[59.23333333 65.21527778],119,Barcelona x Osasuna,2007/2008
4,Gabriel Alejandro Milito,44.158928571428575,52.357142857142854,[44.15892857 52.35714286],108,Barcelona x Osasuna,2007/2008
5,Gianluca Zambrotta,56.25151515151515,7.042424242424244,[56.25151515  7.04242424],59,Barcelona x Osasuna,2007/2008
6,Lilian Thuram,38.093877551020405,21.718367346938777,[38.09387755 21.71836735],88,Barcelona x Osasuna,2007/2008
7,Lionel Andrés Messi Cuccittini,81.71111111111111,20.30740740740741,[81.71111111 20.30740741],72,Barcelona x Osasuna,2007/2008
8,Rafael Márquez Álvarez,55.47142857142857,33.9,[55.47142857 33.9       ],93,Barcelona x Osasuna,2007/2008
9,Thierry Henry,85.48518518518519,60.11851851851852,[85.48518519 60.11851852],77,Barcelona x Osasuna,2007/2008
10,Víctor Valdés Arribas,9.959999999999999,35.445,[ 9.96  35.445],26,Barcelona x Osasuna,2007/2008
0,Andrés Iniesta Luján,64.08709677419355,47.71612903225807,[64.08709677 47.71612903],126,Real Valladolid x Barcelona,2007/2008
1,Bojan Krkíc Pérez,82.91666666666667,44.13333333333333,[82.91666667 44.13333333],62,Real Valladolid x Barcelona,2007/2008
2,Carles Puyol i Saforcada,50.67291666666667,9.106250000000001,[50.67291667  9.10625   ],84,Real Valladolid x Barcelona,2007/2008
3,Gabriel Alejandro Milito,41.64923076923077,50.673846153846156,[41.64923077 50.67384615],119,Real Valladolid x Barcelona,2007/2008
4,Gnégnéri Yaya Touré,55.6625,32.480000000000004,[55.6625 32.48  ],70,Real Valladolid x Barcelona,2007/2008
5,Lionel Andrés Messi Cuccittini,83.12424242424242,10.9,[83.12424242 10.9       ],74,Real Valladolid x Barcelona,2007/2008
6,Rafael Márquez Álvarez,39.86078431372549,21.11764705882353,[39.86078431 21.11764706],95,Real Valladolid x Barcelona,2007/2008
7,Ronaldo de Assis Moreira,81.64888888888889,51.79555555555556,[81.64888889 51.79555556],112,Real Valladolid x Barcelona,2007/2008
8,Sylvio Mendes Campos Junior,60.57368421052631,65.46842105263157,[60.57368421 65.46842105],108,Real Valladolid x Barcelona,2007/2008
9,Víctor Valdés Arribas,9.614285714285714,35.892857142857146,[ 9.61428571 35.89285714],40,Real Valladolid x Barcelona,2007/2008
10,Xavier Hernández Creus,62.594202898550726,27.704347826086956,[62.5942029  27.70434783],142,Real Valladolid x Barcelona,2007/2008
0,Andrés Iniesta Luján,62.088750000000005,49.927499999999995,[62.08875 49.9275 ],162,Barcelona x Real Betis,2007/2008
1,Carles Puyol i Saforcada,44.61086956521739,38.64565217391304,[44.61086957 38.64565217],84,Barcelona x Real Betis,2007/2008
